	Door1	Door2	FaucetHandle1	FaucetHandle2	SinkFloor1	SinkFloor2	Soap Dispenser	Stall	ToiletFloor1	ToiletFloor2	ToiletFlushHandle1	ToiletFlushHandle2	ToiletSeat1	ToiletSeat2	Domaine	Embranchement	Classe	Ordre	Famille	Genre	OTU
72	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	02271
73	0	0	0	0	0	0	0	0	0	0	2	3	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	00750
74	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	01777
75	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	03134
76	0	0	0	0	0	1	0	0	1	0	0	2	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Gp6	unclassified	unclassified	00799
77	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp7	Gp7	unclassified	unclassified	03815
78	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Acidobacteria	unclassified	unclassified	unclassified	unclassified	04057
1975	0	0	0	0	0	0	0	0	1	0	12	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	00333
1976	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	03674
1977	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	02782
1978	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	02067
1979	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	02621
1980	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	03085
1981	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified	02508
1982	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	unclassified	02228
1983	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	unclassified	03625
1984	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	unclassified	01661
1985	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	unclassified	unclassified	01923
1986	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	unclassified	unclassified	02087
1987	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	03083
1988	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Chloroflexi	unclassified	unclassified	unclassified	unclassified	02975
1989	0	0	0	2	12	19	0	0	8	12	2	3	2	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	00087
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	02730
1991	0	0	0	0	2	0	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	01577
1992	0	0	0	0	1	3	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	00812
1993	1	0	0	0	27	0	0	0	2	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	00167
1994	0	8	0	0	2	7	0	0	2	5	0	4	0	1	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	00170
1995	0	0	0	0	0	2	0	0	3	0	0	3	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	00499
1996	0	0	0	0	0	1	0	0	0	2	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	01131
1997	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	02627
1998	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	01143
1999	0	8	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	00477
2000	0	0	0	0	1	1	0	0	0	1	1	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	00835
2001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	02929
2002	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	03563
2003	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	02532
2004	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	03574
2005	0	0	0	0	1	1	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	01392
2006	5	0	0	10	0	0	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	00293
2007	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	03722
2008	0	0	0	0	3	9	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	00351
